1162.8,0.12771,1,93.82,0,1.3959
1205.9,0.13932,1,98.524,0.01161,-2.926
301.46,7.8367,1,98.849,7.6974,0.92308
646,7.8483,1,99.253,0.01161,-0.51737
646,7.86,1,102.93,0.01161,2.6819
646,7.8716,1,107.36,0.01161,-0.17889
646,7.8832,1,110.02,0.01161,-2.8685
646,7.8948,1,106.69,0.01161,0.78418
646,7.9064,1,103.38,0.01161,-1.7553
646,7.918,1,107.54,0.01161,2.0311
646,7.9296,1,101.33,0.01161,-0.50011
646,7.9412,1,105.13,0.01161,3.0321
646,7.9528,1,96.634,0.01161,-0.23847
689.06,8.3244,1,99.66,0.37152,0.99375
516.8,9.079,1,93.777,0.75465,2.4636
516.8,11.099,1,89.782,2.0201,1.2544
516.8,11.111,1,101.66,0.01161,1.7097
516.8,12.55,1,124.24,1.4396,1.349
516.8,12.562,1,98.623,0.01161,1.489
516.8,13.073,1,92.502,0.51084,-2.9163
1421.2,13.201,1,89.106,0.12771,-1.7483
1421.2,13.293,1,93.771,0.09288,-2.7648
301.46,15.662,1,94.683,2.3684,-1.1169
301.46,15.673,1,112.34,0.01161,1.0187
301.46,15.685,1,92.842,0.01161,3.0513
